title,description,street,city,state,postal_code,country,lat,lng,phone,fax,email,website,marker_id,is_disabled,open_hours,brand,special,lang,logo_name,categories,order,schedule_appointment,more_info
<a href='/clinics/or/beaverton/wellness-center/'>The Wellness Way - Beaverton</a>,,"12655 SW Center Street, Suite 145",Beaverton,OR,97005,United States,45.493997,-122.806621,(971) 727-8965,,lifemomentum@twwclinics.com,,151,0,,,,,,OR,0,/clinics/or/beaverton/wellness-center/#schedule,/clinics/or/beaverton/wellness-center/
<a href='/clinics/hi/kihei/wellness-center/'>Sol Chiropractic - Affiliate of The Wellness Way</a>,,"30 E Lipoa Street, #4-102",Kihei,HI,96753,United States,20.747676,-156.454345,(808) 270-2530,,drkatie@solchiro.com,,151,0,,,,,,HI,0,/clinics/hi/kihei/wellness-center/#schedule,/clinics/hi/kihei/wellness-center/
<a href='/clinics/ms/madison/wellness-center/'>Madison Chiropractic & Wellness - Affiliate of The Wellness Way</a>,,"119 Colony Crossing, Suite 700",Madison,MS,39110,United States,32.47535,-90.141125,(601) 898-0456,,twwmadison@gmail.com,,151,0,,,,,,MS,0,/clinics/ms/madison/wellness-center/#schedule,/clinics/ms/madison/wellness-center/
<a href='/clinics/il/rockford/wellness-center/'>The Wellness Way - Rockford</a>,,329 Amphitheater Drive,Rockford,IL,61107,United States,42.27179,-88.972831,(779) 210-3994,,rockford@thewellnessway.com,,151,0,,,,,,IL,0,/clinics/il/rockford/wellness-center/#schedule,/clinics/il/rockford/wellness-center/
<a href='/clinics/mo/columbia/wellness-center/'>The Wellness Way - Columbia</a>,,"2401 Bernadette Dr., STE 209",Columbia,MO,65202,United States,38.966383,-92.376153,(573) 443-6828,,columbia@twwclinics.com,,151,0,,,,,,MO,0,/clinics/mo/columbia/wellness-center/#schedule,/clinics/mo/columbia/wellness-center/
<a href='/clinics/sc/mt-pleasant/wellness-center/'>Ideal Posture & Spine - Affiliate of The Wellness Way</a>,,"757 Long Point Road, Suite C",Mt. Pleasant,SC,29464,United States,32.842141,-79.850135,(843) 352-9966,,mtpleasantsc@twwclinics.com,,151,0,,,,,,SC,0,/clinics/sc/mt-pleasant/wellness-center/#schedule,/clinics/sc/mt-pleasant/wellness-center/
<a href='/clinics/co/englewood/wellness-center/'>The Wellness Way - Centennial</a>,,"63 Inverness Drive East, Suite #150",Englewood,CO,80122,United States,39.567278,-104.862681,(303) 668-2103,,centennial@twwclinics.com,,151,0,,,,,,CO,0,/clinics/co/englewood/wellness-center/#schedule,/clinics/co/englewood/wellness-center/
<a href='/clinics/mn/bloomington/wellness-center/'>The Wellness Way - Bloomington</a>,,7492 W 78th St.,Bloomington,MN,55439,United States,44.861542,-93.380039,(952) 255-6980,,bloomington@thewellnessway.com,,151,0,,,,,,MN,0,/clinics/mn/bloomington/wellness-center/#schedule,/clinics/mn/bloomington/wellness-center/
<a href='/clinics/co/louisville/wellness-center/'>The Wellness Way - Louisville</a>,,"1075 South Boulder Road, Suite 235",Louisville,CO,80027,United States,39.987933,-105.129699,(720) 379-7255,,louisville@thewellnessway.com,,151,0,,,,,,CO,0,/clinics/co/louisville/wellness-center/#schedule,/clinics/co/louisville/wellness-center/
<a href='/clinics/fl/largo/wellness-center/'>The Wellness Way - Largo</a>,,13787 Belcher Road S Suite 340,Largo,FL,33771,United States,27.897649,-82.744707,(727) 216-3170,,largo@twwclinics.com,,151,0,,,,,,FL,0,/clinics/fl/largo/wellness-center/#schedule,/clinics/fl/largo/wellness-center/
<a href='/clinics/tn/franklin/wellness-center/'>Wellness and Laser Therapy Center - Affiliate of The Wellness Way</a>,,"311 South Royal Oaks Blvd., Suite 110B",Franklin,TN,37064,United States,35.907742,-86.838545,(615) 591-9833,,chirokid66@gmail.com,,151,0,,,,,,TN,0,/clinics/tn/franklin/wellness-center/#schedule,/clinics/tn/franklin/wellness-center/
<a href='/clinics/nd/williston/wellness-center/'>The Wellness Way - Williston</a>,,1510 2nd Ave W Ste 202,Williston,ND,58801,United States,48.155681,-103.625739,(701) 572-0884,,williston@twwclinics.com,,151,0,,,,,,ND,0,/clinics/nd/williston/wellness-center/#schedule,/clinics/nd/williston/wellness-center/
<a href='/clinics/ne/lincoln/wellness-center/'>Schulte Chiropractic Wellness Center - Affiliate of The Wellness Way</a>,,"1777 N 86th St., Ste 102",Lincoln,NE,68505,United States,40.830386,-96.603548,(402) 420-0024,,lincoln@twwclinics.com,,151,0,,,,,,NE,0,/clinics/ne/lincoln/wellness-center/#schedule,/clinics/ne/lincoln/wellness-center/
<a href='/clinics/nd/mandan/wellness-center/'>180 Health Solutions - Affiliate of The Wellness Way</a>,,2008 Twin City Drive,Mandan,ND,58554,United States,46.828551,-100.865316,(701) 214-6818,,bis-man@twwclinics.com,,151,0,,,,,,ND,0,/clinics/nd/mandan/wellness-center/#schedule,/clinics/nd/mandan/wellness-center/
<a href='/clinics/ma/worcester/wellness-center/'>Back To Health Chiropractic - Affiliate of The Wellness Way</a>,,82 Park Avenue,Worcester,MA,1609,United States,42.279841,-71.80853,(508) 752-7521,,worcester@thewellnessway.com,,151,0,,,,,,MA,0,/clinics/ma/worcester/wellness-center/#schedule,/clinics/ma/worcester/wellness-center/
<a href='/clinics/il/yorkville/wellness-center/'>Exemplify Health Center - Affiliate of The Wellness Way</a>,,"728 East Veterans Parkway, #115",Yorkville,IL,60560,United States,41.657057,-88.431381,(630) 553-6149,,yorkville@twwclinics.com,,151,0,,,,,,IL,0,/clinics/il/yorkville/wellness-center/#schedule,/clinics/il/yorkville/wellness-center/
<a href='/clinics/mi/escanaba/wellness-center/'>Atlas Chiropractic Center - Affiliate of The Wellness Way</a>,,113 S 12th St,Escanaba,MI,49829,United States,45.745529,-87.064025,(906) 786-1428,,escanaba@twwclinics.com,,151,0,,,,,,MI,0,/clinics/mi/escanaba/wellness-center/#schedule,/clinics/mi/escanaba/wellness-center/
<a href='/clinics/tn/knoxville/wellness-center/'>Liberty Chiropractic - Affiliate of The Wellness Way</a>,,"9145 Cross Park Drive, Suite 102",Knoxville,TN,37923,United States,35.921062,-84.090907,(865) 531-1800,,knoxville@twwclinics.com,,151,0,,,,,,TN,0,/clinics/tn/knoxville/wellness-center/#schedule,/clinics/tn/knoxville/wellness-center/
<a href='/clinics/il/burrridge/wellness-center/'>The Wellness Way - Burr Ridge</a>,,16W289 83rd St. Suite C,Burr Ridge,IL,60527,United States,41.737869,-87.942519,(630) 908-7634,,burrridge@twwclinics.com,,151,0,,,,,,IL,0,/clinics/il/burrridge/wellness-center/#schedule,/clinics/il/burrridge/wellness-center/
<a href='/clinics/ut/holladay/wellness-center/'>Genesis Chiropractic - Affiliate of The Wellness Way</a>,,"1548 E 4500 S Street, 101",Holladay,UT,84117,United States,40.662537,-111.836898,(801) 676-0243,,holladay@twwclinics.com,,151,0,,,,,,UT,0,/clinics/ut/holladay/wellness-center/#schedule,/clinics/ut/holladay/wellness-center/
<a href='/clinics/wi/osseo/wellness-center/'>The Wellness Way - Osseo</a>,,50618 Charles Street,Osseo,WI,54758,United States,44.577785,-91.222906,(715) 530-4080,,osseo@thewellnessway.com,,151,0,,,,,,WI,0,/clinics/wi/osseo/wellness-center/#schedule,/clinics/wi/osseo/wellness-center/
<a href='/clinics/oh/ada/wellness-center/'>Family Chiropractic Center - Affiliate of The Wellness Way</a>,,955 S Main Street,Ada,OH,45810,United States,40.76008,-83.823186,(419) 979-9590,,ada@thewellnessway.com,,151,0,,,,,,OH,0,/clinics/oh/ada/wellness-center/#schedule,/clinics/oh/ada/wellness-center/
<a href='/clinics/mn/woodbury/wellness-center/'>The Wellness Way - Woodbury</a>,,"700 Commerce Drive, Suite  260",Woodbury,MN,55125,United States,44.9430734,-92.9145216,(651) 330-9453,,woodbury@thewellnessway.com,,151,0,,,,,,MN,0,/clinics/mn/woodbury/wellness-center/#schedule,/clinics/mn/woodbury/wellness-center/
<a href='/clinics/fl/pensacola/wellness-center/'>The Wellness Way - Pensacola</a>,,"810 Scenic Hwy, Suite A",Pensacola,FL,32503,United States,30.427592,-87.177231,(850) 542-7163,,pensacola@thewellnessway.com,,151,0,,,,,,FL,0,/clinics/fl/pensacola/wellness-center/#schedule,/clinics/fl/pensacola/wellness-center/
<a href='/clinics/tn/farragut/wellness-center/'>Courtley Chiropractic - Affiliate of The Wellness Way</a>,,11815 Kingston Pike Suite 100,Farragut,TN,37934,United States,35.871385,-84.181637,(865) 986-8088,,farragut@thewellnessway.com,,151,0,,,,,,TN,0,/clinics/tn/farragut/wellness-center/#schedule,/clinics/tn/farragut/wellness-center/
<a href='/clinics/fl/jacksonville/wellness-center/'>The Wellness Way - Jacksonville</a>,,"6100 Greenland Rd, Suite 101",Jacksonville,FL,32258,United States,30.16182,-81.547553,(904) 903-7127,,jacksonville@thewellnessway.com,,151,0,,,,,,FL,0,/clinics/fl/jacksonville/wellness-center/#schedule,/clinics/fl/jacksonville/wellness-center/
<a href='/clinics/ia/westdesmoines/wellness-center/'>The Wellness Way - West Des Moines</a>,,"6150 Village View Dr, #107",West Des Moines,IA,50266,United States,41.563874,-93.792528,(515) 440-0047,,westdesmoines@thewellnessway.com,,151,0,,,,,,IA,0,/clinics/ia/westdesmoines/wellness-center/#schedule,/clinics/ia/westdesmoines/wellness-center/
<a href='/clinics/nc/charlotte/wellness-center/'>Queen City Health Center - Affiliate of The Wellness Way</a>,,"4421 Sharon Rd, Ste 100",Charlotte,NC,28211,United States,35.151559,-80.828103,(980) 422-2000,,charlottenc@thewellnessway.com,,151,0,,,,,,NC,0,/clinics/nc/charlotte/wellness-center/#schedule,/clinics/nc/charlotte/wellness-center/
"<a href='/clinics/mi/oxford/wellness-center/'>Dr. Cindy Burke, DC - Affiliate of The Wellness Way</a>",,142 South Washington St.,Oxford,MI,48371,United States,42.81905,-83.259808,(248) 628-2891,,oxford@thewellnessway.com,,151,0,,,,,,MI,0,/clinics/mi/oxford/wellness-center/#schedule,/clinics/mi/oxford/wellness-center/
<a href='/clinics/oh/granville/wellness-center/'>The Wellness Way - Granville</a>,,1670 Columbus Road,Granville,OH,43023,United States,40.05823,-82.532293,(740) 404-6487,,granville@thewellnessway.com,,151,0,,,,,,OH,0,/clinics/oh/granville/wellness-center/#schedule,/clinics/oh/granville/wellness-center/
<a href='/clinics/ky/danville/wellness-center/'>Honchel Chiropractic LLC - A Wellness Way Affiliate</a>,,101 Citation Dr,Danville,KY,40422,United States,37.654006,-84.801937,(859) 325-9033,,danville@thewellnessway.com,,151,0,,,,,,KY,0,/clinics/ky/danville/wellness-center/#schedule,/clinics/ky/danville/wellness-center/
<a href='/clinics/mi/annarbor/wellness-center/'>Wellness Roots Center - Affiliate of The Wellness Way</a>,,"6360 Jackson Rd., Ste. F",Ann Arbor,MI,48103,United States,42.290782,-83.854331,(734) 369-9990,,annarbormi@thewellnessway.com,,151,0,,,,,,MI,0,/clinics/mi/annarbor/wellness-center/#schedule,/clinics/mi/annarbor/wellness-center/
<a href='/clinics/mi/richmond/wellness-center/'>Varga Family Chiropractic - Affiliate of The Wellness Way</a>,,"66990 Gratiot Ave, Suite A",Richmond,MI,48062,United States,42.794669,-82.736312,(586) 727-8900,,richmond@thewellnessway.com,,151,0,,,,,,MI,0,/clinics/mi/richmond/wellness-center/#schedule,/clinics/mi/richmond/wellness-center/
<a href='/clinics/wi/winneconne/wellness-center/'>McGinnis Chiropractic Office - Affiliate of The Wellness Way</a>,,11 N. 6th Avenue,Winneconne,WI,54986,United States,44.11109,-88.702289,(920) 582-4364,,winneconne@thewellnessway.com,,151,0,,,,,,WI,0,/clinics/wi/winneconne/wellness-center/#schedule,/clinics/wi/winneconne/wellness-center/
<a href='/clinics/wi/eauclaire/wellness-center/'>The Wellness Way - Eau Claire</a>,,"4410 Golf Terrace, Suite 120",Eau Claire,WI,54701,United States,44.771979,-91.457678,(715) 598-1829,,eauclaire@thewellnessway.com,,151,0,,,,,,WI,0,/clinics/wi/eauclaire/wellness-center/#schedule,/clinics/wi/eauclaire/wellness-center/
<a href='/clinics/mi/grandrapids/wellness-center/'>The Wellness Way - Grand Rapids</a>,,"847 Parchment SE, Suite 100",Grand Rapids,MI,49546,United States,42.9476374,-85.560426,(616) 734-6498,,grandrapids@thewellnessway.com,,151,0,,,,,,MI,0,/clinics/mi/grandrapids/wellness-center/#schedule,/clinics/mi/grandrapids/wellness-center/
<a href='/clinics/in/shipshewana/wellness-center/'>The Wellness Way - Shipshewana</a>,,250 East Berkshire Drive,Shipshewana,IN,46565,United States,41.659012,-85.578596,(260) 593-1560,(260) 593-1584,shipshewana@thewellnessway.com,,151,0,,,,,,IN,0,/clinics/in/shipshewana/wellness-center/#schedule,/clinics/in/shipshewana/wellness-center/
"<a href='/clinics/ia/cedarfalls/wellness-center/'>Michele Green, D.C - Affiliate of The Wellness way</a>",,1820 Main Street,Cedar Falls,IA,50613,United States,42.52168372,-92.44533964,(319) 260-2113,,cedarfalls@thewellnessway.com,,151,0,,,,,,IA,0,/clinics/ia/cedarfalls/wellness-center/#schedule,/clinics/ia/cedarfalls/wellness-center/
<a href='/clinics/fl/sarasota/wellness-center/'>The Wellness Way - Sarasota</a>,,"6771 Professional Parkway W, Suite 102",Sarasota,FL,34240,United States,27.38298,-82.44151,(941) 702-0553,,sarasota@thewellnessway.com,,151,0,,,,,,FL,0,/clinics/fl/sarasota/wellness-center/#schedule,/clinics/fl/sarasota/wellness-center/
<a href='/clinics/in/bloomington/wellness-center/'>Paragon Wellness Center - Affiliate of The Wellness Way</a>,,1332 W. Arch Haven Ave,Bloomington,IN,47403,United States,39.161061,-86.551788,(812) 333-7447,,bloomingtonin@thewellnessway.com,,151,0,,,,,,IN,0,/clinics/in/bloomington/wellness-center/#schedule,/clinics/in/bloomington/wellness-center/
<a href='/clinics/wi/kenosha/wellness-center/'>The Wellness Way â€“ Pleasant Prairie</a>,,4707 Washington Rd.,Kenosha,WI,53144,United States,42.6026198,-87.8662153,(262) 748-1080,,pleasantprairie@thewellnessway.com,,151,0,,,,,,WI,0,/clinics/wi/kenosha/wellness-center/#schedule,/clinics/wi/kenosha/wellness-center/
<a href='/clinics/nc/raleigh/wellness-center/'>The Wellness Way - Raleigh</a>,,4000 Blue Ridge Rd. Suite 140,Raleigh,NC,27612,United States,35.83453971,-78.67666444,(919) 803-5015,(919) 803-3017,raleigh@thewellnessway.com,,151,0,,,,,,NC,0,/clinics/nc/raleigh/wellness-center/#schedule,/clinics/nc/raleigh/wellness-center/
<a href='/clinics/wi/kingston/wellness-center/'>The Wellness Way â€“ Kingston</a>,,131 N. South Street,Kingston,WI,53939,United States,43.69472208,-89.12729589,(920) 394-3329,,kingston@thewellnessway.com,,151,0,,,,,,WI,0,/clinics/wi/kingston/wellness-center/#schedule,/clinics/wi/kingston/wellness-center/
<a href='/clinics/mo/st-peters/wellness-center/'>The Wellness Way - St. Peters</a>,,1232 Jungermann Road,St. Peters,MO,63376,United States,38.76085644,-90.58604603,(636) 685-0717,,stpeters@thewellnessway.com,,151,0,,,,,,MO,0,/clinics/mo/st-peters/wellness-center/#schedule,/clinics/mo/st-peters/wellness-center/
<a href='/clinics/wi/greenfield/wellness-center/'>The Wellness Way - Greenfield</a>,,8585 West Forest Home Avenue Suite 110,Greenfield,WI,53228,United States,42.9561373,-88.0202202,(414) 367-2015,,greenfield@thewellnessway.com,,151,0,,,,,,WI,0,/clinics/wi/greenfield/wellness-center/#schedule,/clinics/wi/greenfield/wellness-center/
<a href='/clinics/ut/southjordan/wellness-center/'>The Wellness Way - South Jordan</a>,,"10459 South 1300 West, Suite 203",South Jordan,UT,84095,United States,40.5609131,-111.9287277,(385) 308-8169,,southjordan@thewellnessway.com,,151,0,,,,,,UT,0,/clinics/ut/southjordan/wellness-center/#schedule,/clinics/ut/southjordan/wellness-center/
<a href='/clinics/ca/nevadacity/wellness-center/'>The Wellness Way - Grass Valley</a>,,355 Providence Mine Rd.,Nevada City,CA,95959,United States,39.2551303,-121.0322106,(530) 264-7571,,grassvalley@thewellnessway.com,,151,0,,,,,,CA,0,/clinics/ca/nevadacity/wellness-center/#schedule,/clinics/ca/nevadacity/wellness-center/
<a href='/clinics/mi/sturgis/wellness-center/'>The Wellness Way - Sturgis</a>,,64177 Rommel Rd,Sturgis,MI,49091,United States,41.8654598,-85.4213956,(269) 651-6868,(269) 651-8185,thewellnesswayofsturgis@gmail.com,,151,0,,,,,,MI,0,/clinics/mi/sturgis/wellness-center/#schedule,/clinics/mi/sturgis/wellness-center/
<a href='/clinics/nh/keene/wellness-center/'>Cheshire Chiropractic Center - Affiliate of The Wellness Way</a>,,"815 Court Street, Unit 1",Keene,NH,3431,United States,42.9622754,-72.3047499,(603) 355-9911,(603) 355-9916,wellness@cheshirechiro.com,,151,0,,,,,,NH,0,/clinics/nh/keene/wellness-center/#schedule,/clinics/nh/keene/wellness-center/
<a href='/clinics/mi/marquette/wellness-center/'>The Wellness Way - Marquette</a>,,307 S Front St. Ste 125,Marquette,MI,49855,United States,46.5413117,-87.3931756,(906) 235-5127,,marquette@thewellnessway.com,,151,0,,,,,,MI,0,/clinics/mi/marquette/wellness-center/#schedule,/clinics/mi/marquette/wellness-center/
<a href='/clinics/wi/holmen/wellness-center/'>The Wellness Way â€“ Holmen</a>,,525 McHugh Rd.,Holmen,WI,54636,United States,43.9707276,-91.2660124,(608) 526-2854,,Holmen@thewellnessway.com,,151,0,,,,,,WI,0,/clinics/wi/holmen/wellness-center/#schedule,/clinics/wi/holmen/wellness-center/
<a href='/clinics/mn/st-cloud/wellness-center/'>The Wellness Way - St. Cloud</a>,,3400 1st St. N Suite 105,St. Cloud,MN,56303,United States,45.554185,-94.2002051,(320) 774-1355,,stcloud@thewellnessway.com,,151,0,,,,,,MN,0,/clinics/mn/st-cloud/wellness-center/#schedule,/clinics/mn/st-cloud/wellness-center/
